Size(MiB),32_12_1_1,64_13_1_1,128_14_1_1,256_15_1_1,512_16_1_1,1024_17_1_1,2048_18_1_1,4096_19_1_1,4096_20_1_1,4096_21_1_1,4096_22_1_1,4096_23_1_1,4096_24_1_1,4096_25_1_1,4096_26_1_1
Overall,1.6506792928,1.680149706,1.77410279,1.853515534,2.1896689104,2.7366152164,3.808711372,5.728565603,4.9274363526,4.9723369128,4.7401218344,7.446317825,6.6407275592,6.3746651706,6.091981958
Gather,0.14163331,0.1492567474,0.1662747786,0.2064872018,0.2810001468,0.4423241046,0.7404876582,1.1919145788,1.3958091208,1.4133809116,1.608021309,4.967166506,4.3290149188,4.0527530466,3.762678684
OpenCLLoad,1.3901451562,1.4014273392,1.4482475406,1.4793646738,1.6682100398,2.1144059596,2.870586391,4.3255738468,3.3888405134,3.393856301,2.9588263214,2.3553545936,2.1156679808,2.0560806546,1.9932876038
Compute,1.119967052,1.139224539,1.176219004,1.22082122,1.4082862352,1.781690052,2.5637290816,3.960106808,2.861946484,2.366224345,2.566834869,1.9846235906,1.9545187572,1.937006783,1.9679155118
Scatter,0.1275788082,0.1176524604,0.1352318164,0.1903541682,0.2803815214,0.4197786988,0.6689896934,1.2121271976,1.0810210006,0.934804627,2.1534002128,2.4727490416,2.8977201842,3.5353397646,3.9801289234
OpenCLStore,1.1958393456,1.2406545014,1.2581618032,1.2890695386,1.455716923,1.890924803,2.59072402,3.9718597194,2.8509558344,2.5086811086,2.3845307228,1.8188554586,1.6203596612,1.6839857704,1.6737124456
