Size,Time
262144,0.000237151289062
262144,0.0002554539375
262144,0.00025859459375
262144,0.000272382210937
262144,0.000290079265625
524288,0.000361678359375
524288,0.000388644335937
524288,0.000449990585938
524288,0.000452458289062
524288,0.000475596835937
786432,0.000551525265625
786432,0.000564675289063
786432,0.000566281445312
786432,0.000572521617187
786432,0.000593813484375
1048576,0.000602045539062
1048576,0.000614396414063
1048576,0.00063252359375
1048576,0.000703457171875
1048576,0.000722357273438
1310720,0.000766343695313
1310720,0.000775615710937
1310720,0.0008306639375
1310720,0.000875090640625
1310720,0.000948146382812
1572864,0.000833480601562
1572864,0.000866234695312
1572864,0.000903577453125
1572864,0.00091379503125
1572864,0.00102115049219
1835008,0.00102177721094
1835008,0.00103069283594
1835008,0.00110995411719
1835008,0.00111353696875
1835008,0.0012006903125
2097152,0.00112997128125
2097152,0.00119819880469
2097152,0.0012004454375
2097152,0.00121654955469
2097152,0.00122509635937
2359296,0.00117395799219
2359296,0.00123324074219
2359296,0.00128664394531
2359296,0.00131238391406
2359296,0.00132133789063
2621440,0.001345589875
2621440,0.00138616099219
2621440,0.00139700369531
2621440,0.00141037113281
2621440,0.00143311932813
2883584,0.0016101875
2883584,0.00161650464063
2883584,0.001624651125
2883584,0.00167016526563
2883584,0.00179435889844
3145728,0.0016163746875
3145728,0.00167381855469
3145728,0.00174513961719
3145728,0.00179623139844
3145728,0.00188875135937
3407872,0.00179626895313
3407872,0.00184103057812
3407872,0.00186009511719
3407872,0.00195914164844
3407872,0.00201736235937
3670016,0.00190244967187
3670016,0.00205660378906
3670016,0.00206722808594
3670016,0.00207867027344
3670016,0.00213834864063
3932160,0.00185140592187
3932160,0.00199136797656
3932160,0.00207476132031
3932160,0.00208204639062
3932160,0.00226851471094
4194304,0.00215807374219
4194304,0.00220044442969
4194304,0.00226457484375
4194304,0.00234679292187
4194304,0.00245298739844
4456448,0.00221908630469
4456448,0.00223657810937
4456448,0.002337374375
4456448,0.00237407983594
4456448,0.00265470667969
4718592,0.00232638199219
4718592,0.00237225465625
4718592,0.00251272853125
4718592,0.00254466624219
4718592,0.00262226674219
4980736,0.00218522953906
4980736,0.00242760332812
4980736,0.00260543633594
4980736,0.00264115961719
4980736,0.00266295560156
5242880,0.00255176224219
5242880,0.00259978271094
5242880,0.00260565838281
5242880,0.00265842238281
5242880,0.0026655808125
5505024,0.00267637032812
5505024,0.00268090046094
5505024,0.00271060160938
5505024,0.00271980275781
5505024,0.00287192910156
5767168,0.00278090823438
5767168,0.00282619377344
5767168,0.00288804257031
5767168,0.00290484080469
5767168,0.0030568124375
6029312,0.00287648047656
6029312,0.00292798553906
6029312,0.00300748403906
6029312,0.00301815235937
6029312,0.00311460845312
6291456,0.00290614277344
6291456,0.0030068311875
6291456,0.00308126488281
6291456,0.00313866046094
6291456,0.00314838428125
6553600,0.003152243125
6553600,0.00316621789844
6553600,0.00320055391406
6553600,0.00323079924219
6553600,0.00325529616406
6815744,0.00323313480469
6815744,0.00328221915625
6815744,0.003282605625
6815744,0.00328496153125
6815744,0.0032898363125
7077888,0.00335304052344
7077888,0.00336028108594
7077888,0.00338320289063
7077888,0.00338381357812
7077888,0.00341818157031
7340032,0.00345457945312
7340032,0.003472449125
7340032,0.00348483651562
7340032,0.00351105769531
7340032,0.00352491771875
7602176,0.00333410263281
7602176,0.00349979355469
7602176,0.00353470527344
7602176,0.00355110160156
7602176,0.00378078504688
7864320,0.003610358875
7864320,0.00370932124219
7864320,0.00371179954688
7864320,0.00375168554687
7864320,0.00376417471094
8126464,0.00364148108594
8126464,0.00369596453906
8126464,0.00371196661719
8126464,0.00377561077344
8126464,0.0038094465
