Size(MBs),32,64,128,256,512,1024,2048,4096,4096,4096,4096,4096,4096,4096,4096
Pack,0.0411604395,0.0706568242,0.1319248392,0.3005992604,0.5462326935,0.966745068,1.943728315,3.1072889945,2.9876308233,3.0223687678,4.8009921655,4.6278536031,4.2943218639,4.6152107406,4.2996199181
Put,0.3913046052,0.4567838757,0.5884264143,0.8207919651,1.4298347169,2.2997307422,4.1947692118,6.8543805358,6.2919560771,6.4395981154,11.1329361203,10.3610553604,9.6990406499,9.4126287058,8.6079331677
Gather,0.2761973455,0.2809916298,0.3055753756,0.3967714324,0.5526252691,0.8575433189,1.1774994178,1.7334848932,1.3982541482,1.351799347,40.7836233131,22.0936923383,12.4149030238,10.3896914019,5.674677949
Recv,0.2083746947,0.2215642586,0.276193646,0.3210352393,0.5144470932,0.8479132649,1.4656522336,2.6225910036,2.2703645569,2.1445537446,2.9099619695,2.420053114,2.5196843306,2.9815908576,3.2717717626
Unpack,0.0098428689,0.0127065982,0.0190875552,0.0305563076,0.0596599164,0.1072808312,0.2326301667,0.3826400431,0.3506891132,0.3923431103,0.7915101045,0.8311292438,0.9056692129,1.1269771443,1.1059002634
Overall,3.7239932681,3.8396428094,4.1471401768,5.0578150498,6.8665361301,9.7326719228,15.6098800705,24.7464041109,20.9461210319,20.0026920226,67.0459126133,46.4580684757,35.7070159066,34.3134712395,28.4780288835
Send,0.6873563741,0.6928686234,0.7048560053,0.7810031341,0.9446386933,1.1230884434,1.5252323171,2.0086440946,1.5471555763,1.3853403322,1.7761524071,14.4354797533,7.5933493733,7.8089767357,4.671573927
Compute,1.7040134446,1.6612699719,1.6463486352,1.9369216753,2.3784413939,3.0881333971,4.828590318,8.0615892085,6.2132222388,5.5156944808,5.0445132046,4.7724358734,4.6980779592,4.5969469983,4.5232789074
Scatter,0.2394030051,0.2374454435,0.2546963827,0.3079290238,0.3932243317,0.5212520731,0.7675102367,1.1726733261,0.991876869,0.8571360665,1.7060422783,1.8632067118,2.0674764358,2.5394756148,3.0367265534
